a ba dhU ti|central channel, see also {a wa dhU ti}
a bar skyu gsum|yellow, beleric, and emblic myrobalan
a ba tA ra mu kha|Avataramukha; {'jug sgo}
'a be 'ob be|carelessly
a bi sha ya|Syn {dbab pa}. Syn {bstim}
a bo tse|good, tolerable, middling
a bo|uncle
'ab pa|to bark
a' 'bu|I, myself (Milarepa uses about himself)
a cag lags|elder sister, women
a cag|sister-in-law {jo jo'i skye dman}, [older, elder] sister, wife of a cousin
'a cag|us, we
a cang che|it is certain
a cang|of course!
a ce lha mo|Ache Lhamo
a che|an elder sister, wife, mistress, madam
a che lha mo|actor, actress
a chung gnam rdzong|Achung Namdzong, in Domey
a' chung|small 'a'
a chu zer ba|[the hell called] Crying Cold, the third cold hell, 'Brr' Hell
a chu zer ba|the Hell of Whimpering, one of {grang dmyal brgyad} eight cold hells
'a ci|vow! oh! oh my!
a cog|elder, older brother, cousin
a|completely filled with compassion, {rgyun mi chad pa} uninterrupted, {'gog pa med pa} unceasing
a cor|towel. Syn {lag phyis}
a cug|ankle-bone
a dar chags ka|Adarchaka, in Domey
a dar sha|mirrors
a dhi rin po che|Adhi Rinpoche
a dkar|white quartz
a drung|horse-boy
A 'dzom 'brug pa|Azom Drukpa: 1842-1924
a 'gang|Agang, in Domey
a 'gang|Agang Monastery, at Machuka (rma chu kha)
a ga ru|Fragrant aloe wood. Agallochum, Amyris aggallocha
a ga ru|Syn {rta sha} aloe wood
ag tshom|goatee; beard of the chin, chin-tuft
a gu|uncle
a hang|do you understand/ now then /well
a hang mi khug|Now, then!/ to not respond
a ho|expression of joy, hurrah
a jo|an elder brother, Sir, Mr. gentleman lord
a kA la|untimely
a ka ru|aloe wood
a kha kha|alas!
a kha kha|How sad!, an expression of dismay
a khu|Akhu, uncle, a polite way of addressing a lama or a notable in Amdo
a khu|[paternal]. uncle, father's brother, uncle; [paternal] uncle
a kyang|ah, well, of course, I am only joking
a kyog pa kyog|crooked
a lag|Alak, an honorific title given to lamas and notables in Amdo
a lags|Alak, the equivalent of "Rinpoche" in Amdo, a way of addressing religious dignitaries
a la la|how delightful! How wonderful!
a la la|How wonderful!
a la la|this is a marvelous wonder!
a le|1) an expression of surprise, hum! ho! Syn {a rtsi}. 2) a pause or short spell [ used to indicate a brief, momentary space] as when taken by surprise or unknowingly
'a le 'ol le|1) unclear, blurry, ambiguous, vague, indistinct, half clear half unclear, confused, faint, dim, obscure, fuzzy, indefinite, bleary, cloudy. 2) elusive, evanescent, unreal, illusory, temporary, momentary, temporal, ephemeral, short-lived, fleeting, fugitive, passing, transitory. Syn {'al 'ol}
'a le 'ol le|blurred; comp {'al 'ol, 'al le 'ol le}
al gcig|one
a li|an infant (?)
a li bcu drug|the sixteen vowels
a lig|little boy
A li kA li|vowels and consonants
'al le 'ol le|see {'a le 'ol le}
'al ma 'ol|elusive, evanescent, in the context of realizing phenomena and mind to be the same, {'al ma 'ol} signifies al the different displays that can happen. See {'a le 'ol le}
A lo ke|Aloka
'al 'ol|Syn 'al ma 'ol / sang seng / yad yud; see {'a le 'ol le}
a long|a ring
'al po|see {'a le 'ol le}
al ta|now, at present, to day
a lung|buckle, clasp
'am|1) or. 2) questioning particle: is it? are you?
'a ma|but
a ma|ma, mother, mom
a ma mkha' 'gro ma|Ama Khandroma; protectoress at Tsari
a ma mkha' 'gro ma|Ama Khandroma, said to be a human descendant of the dakini guardian of Tsari
a ma mtsho sman rgyal mo|Ama Tsomen Gyalmo; the chief among the four sisters (sman mo) who are guardians of the Lake Kokonor
a mchog|Achog, in Tsa (tsa), Domey
am chog|ear, bosom
am cog krab po|[thin ears] easily angered, gullible
am cog mthug po|[thick ears] a matter of no concern
am cog sangs po|[sharp ears] person who hears everything
a mdo|Amdo, also called Domey (mdo smad)
