term|english
ཨ་བ་དྷཱུ་ཏི་|central channel, see also {a wa dhU ti}
ཨ་བར་སྐྱུ་གསུམ་|yellow, beleric, and emblic myrobalan
ཨ་བ་ཏཱ་ར་མུ་ཁ་|Avataramukha; {'jug sgo}
འ་བེ་འོབ་བེ་|carelessly
ཨ་བི་ཤ་ཡ་|Syn {dbab pa}. Syn {bstim}
ཨ་བོ་ཙེ་|good, tolerable, middling
ཨ་བོ་|uncle
འབ་པ་|to bark
ཨའ་འབུ་|I, myself (Milarepa uses about himself)
ཨ་ཅག་ལགས་|elder sister, women
ཨ་ཅག་|sister-in-law {jo jo'i skye dman}, [older, elder] sister, wife of a cousin
འ་ཅག་|us, we
ཨ་ཅང་ཆེ་|it is certain
ཨ་ཅང་|of course!
ཨ་ཅེ་ལྷ་མོ་|Ache Lhamo
ཨ་ཆེ་|an elder sister, wife, mistress, madam
ཨ་ཆེ་ལྷ་མོ་|actor, actress
ཨ་ཆུང་གནམ་རྫོང་|Achung Namdzong, in Domey
ཨའ་ཆུང་|small 'a'
ཨ་ཆུ་ཟེར་བ་|the Hell of Whimpering, one of {grang dmyal brgyad} eight cold hells
འ་ཅི་|vow! oh! oh my!
ཨ་ཅོག་|elder, older brother, cousin
ཨ་|completely filled with compassion, {rgyun mi chad pa} uninterrupted, {'gog pa med pa} unceasing
ཨ་ཅོར་|towel. Syn {lag phyis}
ཨ་ཅུག་|ankle-bone
ཨ་དར་ཆགས་ཀ་|Adarchaka, in Domey
ཨ་དར་ཤ་|mirrors
ཨ་དྷི་རིན་པོ་ཆེ་|Adhi Rinpoche
ཨ་དཀར་|white quartz
ཨ་དྲུང་|horse-boy
ཨཱ་འཛོམ་འབྲུག་པ་|Azom Drukpa: 1842-1924
ཨ་འགང་|Agang Monastery, at Machuka (rma chu kha)
ཨ་ག་རུ་|Syn {rta sha} aloe wood
ཨག་ཚོམ་|goatee; beard of the chin, chin-tuft
ཨ་གུ་|uncle
ཨ་ཧང་|do you understand/ now then /well
ཨ་ཧང་མི་ཁུག་|Now, then!/ to not respond
ཨ་ཧོ་|expression of joy, hurrah
ཨ་ཇོ་|an elder brother, Sir, Mr. gentleman lord
ཨ་ཀཱ་ལ་|untimely
ཨ་ཀ་རུ་|aloe wood
ཨ་ཁ་ཁ་|How sad!, an expression of dismay
ཨ་ཁུ་|[paternal]. uncle, father's brother, uncle; [paternal] uncle
ཨ་ཀྱང་|ah, well, of course, I am only joking
ཨ་ཀྱོག་པ་ཀྱོག་|crooked
ཨ་ལག་|Alak, an honorific title given to lamas and notables in Amdo
ཨ་ལགས་|Alak, the equivalent of _Rinpoche_ in Amdo, a way of addressing religious dignitaries
ཨ་ལ་ལ་|this is a marvelous wonder!
ཨ་ལེ་|1) an expression of surprise, hum! ho! Syn {a rtsi}. 2) a pause or short spell [ used to indicate a brief, momentary space] as when taken by surprise or unknowingly
འ་ལེ་འོལ་ལེ་|blurred; comp {'al 'ol, 'al le 'ol le}
ཨལ་གཅིག་|one
ཨ་ལི་|an infant (?)
ཨ་ལི་བཅུ་དྲུག་|the sixteen vowels
ཨ་ལིག་|little boy
ཨཱ་ལི་ཀཱ་ལི་|vowels and consonants
འལ་ལེ་འོལ་ལེ་|see {'a le 'ol le}
འལ་མ་འོལ་|elusive, evanescent, in the context of realizing phenomena and mind to be the same, {'al ma 'ol} signifies al the different displays that can happen. See {'a le 'ol le}
ཨཱ་ལོ་ཀེ་|Aloka
འལ་འོལ་|Syn 'al ma 'ol / sang seng / yad yud; see {'a le 'ol le}
ཨ་ལོང་|a ring
འལ་པོ་|see {'a le 'ol le}
ཨལ་ཏ་|now, at present, to day
ཨ་ལུང་|buckle, clasp
འམ་|1) or. 2) questioning particle: is it? are you?
འ་མ་|but
ཨ་མ་|ma, mother, mom
ཨ་མ་མཁའ་འགྲོ་མ་|Ama Khandroma, said to be a human descendant of the dakini guardian of Tsari
ཨ་མ་མཚོ་སྨན་རྒྱལ་མོ་|Ama Tsomen Gyalmo; the chief among the four sisters (sman mo) who are guardians of the Lake Kokonor
ཨ་མཆོག་|Achog, in Tsa (tsa), Domey
ཨམ་ཆོག་|ear, bosom
ཨམ་ཅོག་ཀྲབ་པོ་|[thin ears] easily angered, gullible
ཨམ་ཅོག་མཐུག་པོ་|[thick ears] a matter of no concern
ཨམ་ཅོག་སངས་པོ་|[sharp ears] person who hears everything
ཨ་མདོ་|county in 21th cent Tibet.
ཨ་མདོ་དགེ་འདུན་ཆོས་འཕེལ་|1905? 1951?
ཨ་མདོའི་ཆོས་འབྱུང་དེབ་ཐེར་རྒྱ་མཚོ་|Ocean Annals, a religious history of Amdo, by Könchok Rabgye
ཨ་མདོ་ཞབ༹་དམར་|(1852-1910), alias {dge 'dun bstan 'dzin rgya mtsho}; author of {byang chub bde lam gyi khrid dmigs skyong tshul shin tu gsal bar bkod pa dge legs 'od snang 'gyed pa'i nyin byed}
ཨ་མེས་|CM: 1) spo bo'am mes po. 2) jo bo rje'i slob ma gtsang pa yin pa de'i min cha tshang la a mes byang chub 'byang gnas zer. [mss]
ཨ་མེས་སྐྱེ་རི་|The name of a mountain in the area where HHDL 14 was born. [mss]
ཨམ་གཙིགས་|biting one's lower lip
ཨམ་ཧྲག་|MSS: acc. to BTsering: a small pouch formed by gathering the cloth of a chuba above the belt. Used for carrying small things, even babies. See HHDL 14, NYNMM, 7. [mss]
ཨ་མི་དེ་བ་|Syn {'od dpag med}
ཨ་མོ་ལི་ཀའི་རྡོ་ལེབ་|name of large flat rock in Heaven of the Thirty three, where the gods go for picnic
འ་མོ་ཉིད་|the Bönpo term for emptiness, {stong pa nyid}
ཨམ་ཕྲག་གཡོན་དུ་|into the left side of my garment
ཨམ་ཕྲག་|the fold in the garment [like a big pocket]
ཨ་མྲ་|{shing thog a mra} mangos
ཨམ་ར་|the mango tree and fruit
ཨ་མྲི་ཏ་|guava
ཨམ་ཪིཏ་|Skt. Syn {sman}, {bcud}
ཨ་མྱེས་|Amnye, in Domey:
ཨ་མྱེས་གེ་ཐོ་|Amnye Getho, in Domey
ཨ་མྱེས་ཇ་སྒྲོན་|Amnye Jadrön
ཨ་མྱེས་རྨ་ཆེན་|Amnye Machen
ཨ་ན་|from that (?)
ཨ་ནན་|little one [usually this name is given to a little cute child]
འན་བུ་|I, me
ཨ་ནེ་|paternal aunt
ཨ་ནེས་|Amdo dialect for father-in-law's aunt
ཨང་|Ang! exclamation of dismay; Ang! exclamation of dismay, under-garment
འང་|even. Syn {kyang yang} [used after vowel finals]
ཨང་ག་|1) number. Syn {ang gi}. 2) the root of a plant. 3) makes a verb imperative
ཨང་འགའ་རག་|shorts
འང་གེ་|Oh my!
ཨང་གི་|Oh!, figure, number, cipher; Oh!
ཨང་གིར་|Angiras, the sixth year of {rab byung} Syn {chu pho sprel}
ཨང་གྲངས་|number
འང་གུ་མདོག་|bluish-grey
ཨང་ཁུག་|pocket
ཨང་རག་|shorts
ཨང་ཡིག་|request, exhortation, admonition
ཨང་ཡིག་བདུན་བཅུ་པ་|Seventy Admonitions, by Karak Gomchung
ཨང་ཡིག་བདུན་ཅུ་པ་|the Seventy Admonitions; by Karak Gomchung Rinpoche; [ending with the interjection ex {ang}!--please!]
ཨ་ནཱི་|nun (H.)
འ་ནི་འོན་ནི་|to (listen) carelessly
ཨ་ནུའི་དཀྱིལ་འཁོར་གསུམ་|three mandalas of Anu [Yoga]. For the three mandalas of Anu [Yoga], the view is to establish distinctly that all ground phenomena are three mandalas: 1) the unconstructed basis space of nonarising is the pure expansive sky of the consort Samantabhadri, also called 'the primordial mandala of isness.' 2) This doesn't obstruct the subject, the great bliss that is luminously present as self-existing awareness, which is wisdom Samantabhadra, also called 'the natural mandala of spontaneous presence.' 3) This basic space and wisdom as nondual is the Child of Great Bliss, also called 'the fundamental mandala of awakened mind.' 
ཨ་ནུ་ཡོ་ག་|Anu Yoga
ཨ་ནུ་ཡོ་གའི་བསྒོམ་|meditation of Anu Yoga
ཨ་ནུ་ཡོ་གའི་དབང་བརྒྱད་བརྒྱ་སོ་གཅིག་|Eight Hundred And Thirty One Empowerments of Anu Yoga
ཨ་ནུ་ཡོ་གའི་རྒྱུད་རྣམས་|Anu Yoga tantra
ཨ་ནུ་ཡོ་གའི་སྡེ་སྣོད་རྣམས་|Anu Yoga pitakas
ཨ་པར་སྐྱུར་གསུམ་|three main ingredients for medicine
ཨ་ཕ་|dad, father
ཨ་ཕོ་བླ་བྲང་|monastery in Manali, Himachal Pradesh, founded by the late Apho Rinpoche
ཨ་ཕྱི་ཆོས་ཀྱི་སྒྲོལ་མ་|protective deity
ཨ་ཕྱིར་|Apache
ཨ་པོ་|older brother; building, older brother
ཨཱ་རཱ་|a saw
ཨ་རག་|liquor, arrack, brandy, wine, alcoholic drink; wine, liquor, alcoholic drink, moonshine
ཨ་ར་|moustache, beard; beard, moustache
འར་བ་|lot
ཨ་རེ་དགའ་|{a re dga' dangs re spro} what great joy! how delightful!; with great joy and enthusiasm
ཨ་རེ་|how ...!
ཨ་རེ་འཁྲུལ་|How foolish of me! extremely confused
ཨར་གྷཾ་|water
ཨར་གཏད་|aim, target, to direct the eyes / attention
ཨ་རིག་|1) Arik, on the south-west banks of the Machu River, in Domey. 2) Arik, on the north-eastern banks of Lake Kokonor
ཨ་རིག་དགེ་བཤེས་འཇམ་དཔལ་དགེ་ལེགས་རྒྱལ་མཚན་|or rgyal mtshan 'od zer, 1726-1803 - Arik Geshe, a preeminent master from Domey, who gave monastic ordination to Shabkar
ཨཱ་རིག་དགེ་ཤེས་བྱ་བྲལ་ང་དབང་བསོད་རྣམ་|Arik Geshe Chadral Ngawang Sönam; founded Ganden Chökhor Ling Monastery (dga' ldan chos 'khor gling.)
ཨ་རིགས་ཅན་|'A' family [clan name]
ཨའ་རི་འུ་རི་|hurried, careless
འ་རི་འུ་རི་|hurried, careless
འ་རི་འུར་རི་|scatter-brain, careless
ཨར་ཀ་|marble, plaster-floor
ཨར་ལ་གཏད་པ་|to push to the breaking point/ reduce to misery
ཨར་ལ་གཏད་|strained, pushed to the breaking point, reduced to nothing
ཨར་ལས་|brick-laying
ཨར་ལས་རྒྱག་པ་|to construct, build
ཨ་རོག་|companion, mate, fellow, comrade, friend
ཨ་རོའི་ཐེག་ཆེན་རྣལ་འབྱོར་|Aro's Yogas of the Greater Vehicle, by Aro Yeshe Jungney
ཨ་རོ་ཡེ་ཤེས་འབྱུང་གནས་|Aro Yeshe Jungney
ཨར་པ་|a thief, bandit
འར་པོ་|angry, vexed
ཨར་པོ་|brick
འར་སྒྲ་འུར་སྒྲ་|noisy
ཨ་རྩིས་|Oh my!
ཨ་རུ་ར་|myrobalan, arura juice
འར་འུར་|hurly-burly
ཨ་རུ་|yellow myrobalan, terminabli chebula
ཨཱར་ཡ་དེ་བ་|Aryadeva
ཨཱ་རྱ་དེ་བ་|Aryadeva; {'phags pa'i lha}
ཨཱ་རྱ་དེ་བའི་སྙིང་པོ་ཀུན་བཏུས་|name of text
ཨ་རྱ་|exalted
འར་ཡང་|also, too, likewise; [prob. {lar yang}
ཨཱ་རྱ་པའ་ལོའི་གླིང་|Aryapalo; temple at Samye
ཨ་རྱ་པ་ལོའི་གླིང་|Exalted Palo Temple. A temple at Samye
ཨ་རྱ་ཏཱ་ར་|{'phags ma sgrol ma}
ཨ་སམ་|Assam. var. {a tsa ra} a district in Tibet
ཨ་ཤད་|the A stroke
ཨ་ཤ་ཝར་ཐ་|medicinal herb
ཨ་ཤོམ་|maise
ཨ་ཤབ༹་ར་|The preta-fire, or 'flesh-eater's fire,' refers to ashvara which is a type of Tirthika (non-Buddhist). Among the four types of fire-pit mentioned in the Immaculate Light, the ashvara-fire should be identified as the Tirthika's offering-fire. In Tibet, it means charnel ground fire which means charcoal from a funeral pyre. Jamdrak Rinpoche said that the ingredients for showering down the resplendence of wisdom are vital, while the fire itself is of minor importance. 
ཨ་ཤྭར་ཐ་|medicinal herb
ཨ་སློག་རྒྱག་པ་|to turn over, turn oneself over
ཨ་སྟོང་རྒྱག་པ་|to yawn
ཨ་སུ་རའི་བྲག་ཕུག་|Asura Cave. The cave where Guru Rinpoche subdued the evil forces of Nepal through the practice of Vajra Kilaya. Situated near Pharping in the Kathmandu Valley
ཨ་སུ་ར་|Skt. - Asura
ཨ་ཐང་ཆད་པ་|very weary
ཨ་འཐས་བཟུང་བ་|grasped as solid and real, fantasies, solidifying
ཨ་འཐས་ཆེད་འཛིན་|possessiveness and attachment [to the notions of.]
ཨ་འཐས་|solidified, clinging, grasping, substance, fixation, attachment, fixated on solidity; personal phenomena which one takes for real/ to fixate (?)
ཨ་ཏི་|Ati Yoga. Syn Dzogchen; ati
ཨ་ཏི་བཀོད་པ་|the Array of Ati
ཨ་ཏི་བཀོད་པ་ཆེན་པོ་|Great Ati Array; tantra
ཨ་ཏི་བཀོད་པ་ཆེན་པོའི་རྒྱུད་|the Great Display of Perfection Tantra; n. of a Dzogchen tantra
ཨ་ཏི་རྡོ་རྗེ་སྙིང་པོ་|Ati Yoga, the Vajra Essence
ཨ་ཏི་རྡོ་རྗེ་སྙིང་པོའི་ཐེག་པ་|The vehicle of Ati Yoga, the Vajra Essence
ཨ་ཏི་རྫོགས་པ་ཆེན་པོ་|the Great Perfection of Ati. Syn Dzogchen
ཨ་ཏི་ཤ་|Syn {phul byung}; Atisha 982-1054
འ་ཏི་ཝ་|to perform somersaults, to tumble over, to roll
ཨ་ཏི་ཡོ་ག་|Ati Yoga, atiyoga, primordial yoga. Syn Dzogchen
ཨ་ཏི་ཡོ་གའི་བསྒོམ་|meditation of Ati Yoga
ཨ་ཏི་ཡོ་གའི་དོན་རྣམས་སྒྲོ་འདོགས་བཅད་|removed all misconceptions about each and every aspect of Atiyoga
ཨ་ཏི་ཡོ་གའི་རྒྱུད་རྣམས་|Atiyoga tantra
ཨ་ཏི་ཡོ་གའི་ཐེག་པ་|the vehicle of Ati Yoga. Syn Dzogchen
ཨ་ཏི་ཡོ་ག་ལྷག་པའི་རྣལ་འབྱོར་|Ati Yoga
ཨ་ཏི་ཟབ་དོན་སྙིང་པོ་|revealed by Minling Terchen Terdag Lingpa
ཨ་ཙ་མ་|AR phangs po byed pa'i tsig gam, snying rje'i nyams, a tsa ma, de mi legs pa zhig byas song ???
ཨ་ཙ་མ་ན་|Atsamana. An exclamation of deep sadness
ཨ་ཙམ་རེ་|Alas!. Skt. for {slob dpon}; Alas!
ཨ་ཙ་ར་|slang for Acharya 'teacher'/ saddhu
ཨ་ཙཱ་ར་སྔགས་ཡིག་|x
ཨ་ཙ་རྱ་ས་ལེ་|8th cent. - Atsara Sale, a disciple of Yeshe Tsogyal
ཨཱ་ཙ་རྱ་|slob dpon, master
ཨཱ་ཙར་ཡ་|Skt. for {slob dpon}
ཨ་ཙར་ཡ་|Skt. for {slob dpon} spiritual guide or father, instructor, professor, doctor
ཨ་ཙ་རྱ་|spiritual guide or father, instructor, professor, doctor
ཨ་ཙར་ཡེ་ཤེས་|Atsara Yeshe. Same as Atsara Yeshe Yang of Ba. See under Yeshe Yang
ཨ་ཨུ་|hornless
འ་འུར་|busyness, activity, shaking or rattling sounds
ཨ་ཝ་དྷཱུ་ཏི་|1) name of Maitripa, Avadhutipa; 2) central channel, see {dbu ma}
ཨ་ཝ་དྷུ་ཏི་པ་བཙུན་པ་བསོད་ནམས་|author of Kalachakra instructions
ཨ་ཝ་དྷུ་ཏི་|see {a wa dhU ti}
ཨ་ཝ་གླང་མགོ་སེ་|one of the {thub pa drug} the one in the hell realm. Syn Dharmaraja, the Dharma King, sage of the hell beings, the buddha of the hell realm
ཨཱ་ཝར་ཏ་|dizziness
ཨ་ཝར་ཐེའུ་|Awartheu, in Domey
ཨ་ཞང་|[maternal) uncle, mother's brother
